species,site,flavour_no_seasoning,flavour_with_seasoning,texture,spines,next_bite
Lophius spp,Australia,3.9,4.1,3.1,0,2.9
Genypterus blacodes,New Zealand,2.4,3.1,2.4,1,1.9
